"sha256","count","bytes","kind","paths"
"10DFECDB8DE4F48DBB3DE27613403EFCDD236E5FFCEC9FF00B2A40DCB663E8D8","4","13014","brand","MAGNE.AI/assets/brand/ecosystem/gamepad.svg | MAGNE.AI/assets/brand/ecosystem/ecosystem/gamepad.svg | MAGNE.AI/assets/brand/partners/gamepad.svg | MAGNE.AI/assets/brand/partners/ecosystem/gamepad.svg"
"3DC76CB0C15C4A36AE15859264103B580B331F44461AF848EDB4423C1BC4B1DF","2","264","brand","MAGNE.AI/assets/brand/ecosystem/gamepad_web.png | MAGNE.AI/assets/brand/partners/ecosystem/gamepad_web.png"
"E2FFC0746DC0337AFA5853F60EC992BF83483C8105C70586BE6CBEE825CE7096","3","15267","brand","MAGNE.AI/assets/brand/ecosystem/grandgangstacity_web.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/grandgangstacity_web.png | MAGNE.AI/assets/brand/partners/ecosystem/grandgangstacity_web.png"
"2807749D63810C022D4FDB5C104679D5DC44E785828946A683CE1D742DB44912","6","16561","brand","MAGNE.AI/assets/brand/ecosystem/gs.png | MAGNE.AI/assets/brand/ecosystem/gs_legal_llc.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/gs.png | MAGNE.AI/assets/brand/partners/gs.png | MAGNE.AI/assets/brand/partners/ecosystem/gs.png | MAGNE.AI/assets/brand/partners/ecosystem/gs_legal_llc.png"
"2741D7E737A4F33D7F165AEC90FC35AC722004DCA2462AA17DD429F206421163","2","1613","brand","MAGNE.AI/assets/brand/ecosystem/gs_legal_llc_web.png | MAGNE.AI/assets/brand/partners/ecosystem/gs_legal_llc_web.png"
"61F9F956A8F4FB65FFAAAD04FF37CC6488C2161BA39109E26284456F3C147229","4","2690","brand","MAGNE.AI/assets/brand/ecosystem/hpx_web.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/hpx_web.png | MAGNE.AI/assets/brand/partners/hpx_web.png | MAGNE.AI/assets/brand/partners/ecosystem/hpx_web.png"
"CCE65B0E88BFC2C147C8BC91F98414AD54726E122BEFE9726B7F3CD77DB1E212","3","13407","brand","MAGNE.AI/assets/brand/ecosystem/hyra.svg | MAGNE.AI/assets/brand/partners/hyra-bg4.svg | MAGNE.AI/assets/brand/partners/ecosystem/hyra.svg"
"CD216B863786316DDC07EEAD487E18452E8F94BF7F5F7F7CA123E01D7776D2B9","2","350","brand","MAGNE.AI/assets/brand/ecosystem/hyra_web.png | MAGNE.AI/assets/brand/partners/ecosystem/hyra_web.png"
"43ECAFA1A4522497531512B977339B7E04A75554C9BA18C787C1252392E881A8","4","5883","brand","MAGNE.AI/assets/brand/ecosystem/iflux.svg | MAGNE.AI/assets/brand/ecosystem/ecosystem/iflux.svg | MAGNE.AI/assets/brand/partners/iflux.svg | MAGNE.AI/assets/brand/partners/ecosystem/iflux.svg"
"0E94F21A8D39BD298CBB33B9BEAC7BCCA24324A4B629A42CDEB2CBE69C4E0747","2","788","brand","MAGNE.AI/assets/brand/ecosystem/iflux_web.png | MAGNE.AI/assets/brand/partners/ecosystem/iflux_web.png"
"28E212F0E0F6BE9D35CA23EA779559D43FDB1117C2F5B3FB2D550AD139E22677","4","5254","brand","MAGNE.AI/assets/brand/ecosystem/iotex_web.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/iotex_web.png | MAGNE.AI/assets/brand/partners/iotex_web.png | MAGNE.AI/assets/brand/partners/ecosystem/iotex_web.png"
"07D2456F40086650EF389589EF7342A3036817B43071E12B0002A250A545E92B","4","4622","brand","MAGNE.AI/assets/brand/ecosystem/jinse_web.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/jinse_web.png | MAGNE.AI/assets/brand/partners/jinse_web.png | MAGNE.AI/assets/brand/partners/ecosystem/jinse_web.png"
"42E5DD9A1427D702483828BA2F7EC0F7926A95B8ADF47554E3F7868DAB9688EE","4","3036","brand","MAGNE.AI/assets/brand/ecosystem/kpopclick-green.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/kpopclick-green.png | MAGNE.AI/assets/brand/partners/kpopclick-green.png | MAGNE.AI/assets/brand/partners/ecosystem/kpopclick-green.png"
